Ticker.Symbol,Period.Ending,Total.Current.Assets,Total.Current.Liabilities,Total.Assets,Total.Liabilities,Total.Equity,Net.Income,Total.Revenue,Gross.Profit,Operating.Income,Cost.of.Revenue,Inventory,Cash.and.Cash.Equivalents,Capital.Expenditures,Earnings.Per.Share,Interest.Expense,current_ratio,quick_ratio,cash_ratio,debt_equity,debt_ratio,net_margin,gross_margin,operating_margin,roa,roe,interest_coverage,asset_turnover,inventory_turnover,investable
AAL,2015-12-31,9985000000,13605000000,48415000000,42780000000,5635000000,7610000000,40990000000,29894000000,6204000000,11096000000,863000000,1085000000,-6151000000,11.39,880000000,0.7339213524439544,0.6704887908857038,0.07975009187798604,7.591836734693878,0.8836104513064132,0.185655037814101,0.7292998292266406,0.15135398877775066,0.15718269131467522,1.3504880212954746,7.05,0.8466384385004647,12.85747392815759,0
AAP,2012-12-29,3184200000,2559638000,4613814000,3403120000,1210694000,387670000,6205003000,3098036000,657315000,3106967000,2308609000,598111000,-271182000,5.29,33841000,1.2440040349455666,0.34207610607437455,0.23367015179490225,2.810883674983109,0.7375936697924971,0.062477004443027666,0.49928033878468714,0.10593306723622857,0.0840237599521784,0.32020477511245615,19.423628143376376,1.3448749776215512,1.3458177629906147,0
AAP,2013-12-28,3989384000,2764785000,5564774000,4048569000,1516205000,391758000,6493814000,3252146000,660318000,3241668000,2556557000,1112471000,-195757000,5.36,36618000,1.4429273885672846,0.5182417439330725,0.40237161298256463,2.6701989506695996,0.7275352062815129,0.06032787511314614,0.5008067677947043,0.10168415664507792,0.07039962449508282,0.25838062794938677,18.032606914632147,1.1669501762335721,1.2679818990931946,0
AAP,2015-01-03,4741040000,3654416000,7962358000,5959446000,2002912000,493825000,9843861000,4453613000,851710000,5390248000,3936955000,104671000,-228446000,6.75,73408000,1.2973454582072759,0.22003105284127478,0.028642333002044648,2.9753908309501367,0.7484524056818345,0.05016578352741877,0.4524254253488545,0.08652194499698848,0.06201994434312047,0.2465535180776789,11.602413905841326,1.2362997242776574,1.3691413795687275,0
AAP,2016-01-02,4940746000,3797477000,8134565000,5673917000,2460648000,473398000,9737018000,4422772000,825780000,5314246000,4174768000,90782000,-234747000,6.45,65408000,1.3010601512530557,0.20170708078021277,0.023905872240964198,2.3058629271639015,0.6975071193112354,0.04861837576966582,0.4542224323709785,0.08480830578725437,0.05819585927458936,0.19238753369031247,12.625061154598827,1.1969930783022817,1.2729440294646313,0
AAPL,2013-09-28,73286000000,43658000000,207000000000,83451000000,123549000000,37037000000,170910000000,64304000000,48999000000,106606000000,1764000000,14259000000,-8165000000,40.03,0,1.6786385084062485,1.6382335425351597,0.3266068074579688,0.6754486074351067,0.4031449275362319,0.21670469837926393,0.3762448072084723,0.2866947516236616,0.17892270531400967,0.29977579745687943,Inf,0.8256521739130435,60.43424036281179,1
AAPL,2014-09-27,68531000000,63448000000,231839000000,120292000000,111547000000,39510000000,182795000000,70537000000,52503000000,112258000000,2111000000,13844000000,-9571000000,6.49,0,1.0801128483167317,1.0468415080065565,0.21819442693229102,1.0783974468161404,0.5188600709975457,0.21614376760852322,0.3858803577778386,0.28722339232473537,0.17041998973425523,0.3542004715501089,Inf,0.7884566444817308,53.17764092846992,1
AAPL,2015-09-26,89378000000,80610000000,290345000000,170990000000,119355000000,53394000000,233715000000,93626000000,71230000000,140089000000,2349000000,21120000000,-11247000000,9.28,0,1.1087706239920605,1.079630318819005,0.2620022329735765,1.432616982950023,0.5889200778384336,0.22845773698735639,0.4005990201741437,0.3047729071732666,0.18389846561848835,0.44735453060198566,Inf,0.804956172828876,59.63771817794807,1
AAPL,2016-09-24,106869000000,79006000000,321686000000,193437000000,128249000000,45687000000,215639000000,84263000000,60024000000,131376000000,2132000000,20484000000,-12734000000,8.35,0,1.352669417512594,1.3256841252563096,0.2592714477381465,1.5082924623193943,0.6013224075651412,0.211867983064288,0.3907595564809705,0.27835410106706115,0.14202358821956815,0.3562366958026963,Inf,0.670340021014281,61.62101313320826,1
ABBV,2013-12-31,17848000000,6879000000,29198000000,24706000000,4492000000,4128000000,18790000000,14209000000,5664000000,4581000000,1150000000,9595000000,-491000000,2.58,278000000,2.5945631632504726,2.4273877017008285,1.3948248291902894,5.5,0.8461538461538461,0.21969132517296433,0.7562001064395956,0.30143693453964876,0.14137954654428386,0.918967052537845,20.37410071942446,0.6435372285772998,3.9834782608695654,0
