Ticker.Symbol,Period.Ending,current_ratio,quick_ratio,cash_ratio,debt_equity,debt_ratio,net_margin,gross_margin,operating_margin,roa,roe,interest_coverage,asset_turnover,inventory_turnover
AAL,2015-12-31,-0.9001588207708584,-0.6843893492880535,-0.7777642684279074,3.66535516894986,1.7812035833399886,0.5319025259521514,1.1481791906480499,0.05309924398712157,1.1956438076113305,4.995055958312451,-0.12400738857690916,-0.02841159773280322,0.02962444887038337
AAP,2012-12-29,-0.5096764989095205,-0.9550596349747167,-0.5043202953854712,0.5736854518446514,0.9188269259715336,-0.16697536927501755,0.14133615869513297,-0.15650768907072166,0.19671046442276516,0.5794857296483584,-0.08779069989150419,0.6885404806084893,-0.4729667633619095
AAP,2013-12-28,-0.35739520087818233,-0.8098679120825865,-0.2046166841075178,0.4827097203561512,0.8594215339958284,-0.17916893124003005,0.14801765516116616,-0.1761154180119742,0.010682553315427465,0.3145208623294315,-0.0918621155031966,0.4325103701541221,-0.4763650251437132
AAP,2015-01-03,-0.4688421723951031,-1.0556463995944356,-0.8685588578262989,0.6800662897232671,0.982958735085551,-0.23682581196927466,-0.06375751843189341,-0.24608547969433447,-0.10373603855238282,0.2638324381178091,-0.11068281188165581,0.5323029359300997,-0.47194846985475064
AAP,2016-01-02,-0.4659984727062521,-1.0707486017384589,-0.8769733338170734,0.2471067690920272,0.6820753344692407,-0.24560537312315892,-0.05589164586987857,-0.2539935239816277,-0.15595120915427987,0.031688793199552354,-0.10768959949365768,0.4757414850690613,-0.4761483818490515
AAPL,2013-09-28,-0.17695185606228817,0.11320392440418972,-0.3392153156998909,-0.8072233018551968,-1.0564308862995435,0.7080696624896226,-0.3972158892731498,0.6776652205252023,1.4924882866225966,0.49193156833184554,-9999.0,-0.0586103985656648,2.1067942646992845
AAPL,2014-09-27,-0.635139709645429,-0.3742079763591265,-0.5318134219761719,-0.5466508367633939,-0.3730160240457241,0.7048870973382335,-0.35503908533729117,0.6801047737592844,1.376389733211801,0.7251839011453025,-9999.0,-0.1121339963688828,1.7899759846827394
AAPL,2015-09-26,-0.6132013942135022,-0.3471841822111325,-0.4539874352875776,-0.3175898526050531,0.04075911801832557,0.7747531340482471,-0.2906124463385103,0.7610916815368154,1.5604287661141525,1.1244219663594732,-9999.0,-0.08839151621878301,2.0720186386106665
AAPL,2016-09-24,-0.4264901600151604,-0.14439221599662097,-0.4588387637284883,-0.2686532525230898,0.11400740867647989,0.6806274852877808,-0.3336818203232562,0.6391750683322743,0.9886570015916606,0.7339107160497657,-9999.0,-0.28210137537932356,2.1586079704562944
ABBV,2013-12-31,0.524213657182688,0.7636068826057038,1.5585086073266936,2.312639882895043,1.5599844767898121,0.7250149520862056,1.2659272850266015,0.745696947815741,0.9798630690961636,3.1456508071080393,-0.08500873739902579,-0.32067003952616135,-0.35780826939146476
ABC,2013-09-30,-0.721023024464274,-0.8261859713528644,-0.7723797662488018,3.383180152497042,1.7444247006150504,-0.4934766577888897,-1.9193181520768416,-0.5982296401671324,-0.6375517916277099,0.008441372461231582,-0.10905826581546733,5.443596306112759,0.002652576313513958
ABT,2012-12-31,0.3436230211569761,0.4715633316354496,0.5255949828555159,-0.2635489344870109,0.12139380250614266,1.2545266577111656,0.2883252087974058,-0.3159109018371434,0.2604100117934638,0.16356354004886678,-0.13220278019075984,-0.8389942137480986,-0.4292923160185624
ABT,2013-12-31,0.08782094872872863,0.19810222541150208,-0.27008451432778563,-0.787177180985016,-0.992395238076108,0.22207434311140056,0.28599897550508396,-0.14461130278564985,-0.13169205571172726,-0.3542354028502664,-0.1015861293771932,-0.5881726737030959,-0.38268593290834246
ABT,2014-12-31,-0.4705473606653671,-0.3776954003012373,-0.22984213268427642,-0.6527733936350338,-0.6166215030546787,0.11858209166112625,0.3402466921029215,-0.052990967040345734,-0.19375152134900667,-0.33810263808324537,-0.09392835007035946,-0.5396663908901963,-0.37945346979837374
ABT,2015-12-31,-0.28237008815272985,-0.20017486015312463,0.04772873159382618,-0.6331700890191053,-0.5685258293246382,0.7083868207783744,0.4567149087844503,0.003032674009971617,0.5136030906956064,0.10084566509837978,-0.09316064562368075,-0.5348399279565728,-0.38478768681875863
ADBE,2013-11-29,0.5681382287649167,0.9486788971086949,0.05235124001790316,-0.8924703266775107,-1.357469745261268,-0.11573195803133646,1.6999630628783504,-0.16431535625332616,-0.5691268265024229,-0.608027466976351,-0.12631433037399994,-0.6845450533408678,-9999.0
ADBE,2014-11-28,-0.04956827356286244,0.28364767775245825,-0.12363249608844513,-0.8613212356322544,-1.2416897319344007,-0.1542534048663966,1.676487506084345,-0.18613688958667607,-0.610800485939171,-0.6230816474805583,-0.12442025109844379,-0.6934307626532935,-9999.0
ADBE,2015-11-27,0.2055883666330502,0.558352785950082,-0.2159426228020701,-0.8076218765640155,-1.0577281340309306,0.2233893288914068,1.6536983917395347,0.22369294659252262,-0.21752592035014603,-0.4074838222102062,-0.10345917990374416,-0.6582398587050726,-9999.0
ADBE,2016-12-02,0.12800702833711247,0.47482766226786705,-0.280443211714049,-0.783952940429251,-0.9823122351426153,0.6112527948461254,1.7200657738758096,0.531970746161709,0.3053275686641673,-0.11819496792965845,-0.08258176849236441,-0.5837392960238188,-9999.0
ADI,2013-11-02,5.88104315629554,6.2593081628818705,0.30149341098156535,-1.019954643433833,-1.917654008784914,0.9294317358526818,0.7686801200432976,0.674178656610874,0.4904076913046252,-0.18383875773752764,-0.06331262646401001,-0.652853392957884,-0.3866829622799409
