Date,Close,High,Low,Open,Volume,return_1d,volatility_21d,ma_20,ma_50,ma_200,rsi,macd,macd_signal,ema_50,ema_200,stoch_k,stoch_d,bb_upper,bb_lower,obv,anomaly
2018-01-22,72.09364318847656,72.78016735375054,71.83294208943228,72.5194596246333,1317800.0,-0.0006025284619871618,,,,,,-1.5007885960517342,-1.1453259259349544,75.76855291045362,76.94219737266374,21.906482955425016,,,,-5787300.0,1
2018-01-23,73.17123413085938,73.60574266282427,71.98068499652292,72.00675444762898,1114000.0,0.014947100669689295,,,,,31.818333471803996,-1.392168012293979,-1.1946943432067594,75.66669727203816,76.90467535035724,40.97060576045872,,,,-4673300.0,0
2018-01-24,72.78019714355469,73.42326807383476,72.67591268320832,73.17125226722113,853500.0,-0.005344135464564581,,,,,32.2509117432531,-1.3223950865445886,-1.2202344918743253,75.55350118856822,76.86363576620995,38.54579760603549,33.80762877397308,,,-5526800.0,0
2018-01-25,73.45801544189453,73.52753840209637,72.30222109131788,72.97136798063042,764800.0,0.009313224268998388,,,,,38.31569706020667,-1.198588684035272,-1.2159053303065146,75.47132527693397,76.82974899681378,53.083202436264465,44.19986860091956,,,-4762000.0,0
2018-01-26,73.81432342529297,73.86646233590604,72.84971379850042,73.56230764053792,869500.0,0.0048504983595736295,,,,,42.890896388776056,-1.0595068066524647,-1.1846256255757046,75.40634481216374,76.79974476227129,62.697643271710106,51.44221443800336,,,-3892500.0,0
2018-01-29,72.7715072631836,73.56231619315811,72.30223712288155,73.56231619315811,829800.0,-0.014127558361552994,,,,,35.73602458200139,-1.021652986231345,-1.1520310977068329,75.30301784945864,76.75966279710624,45.48109490271777,53.75398020356412,,,-4722300.0,0
2018-01-30,72.22400665283203,73.02350073761758,71.9893683394245,72.06758332058496,1030600.0,-0.007523557377635215,,73.63833885192871,,,36.17520827222554,-1.0240279279097138,-1.1264304637474092,75.18227231233604,76.71453189019805,42.761092054286294,50.313276742904726,77.63584131266862,69.6408363911888,-5752900.0,0
2018-01-31,72.2761459350586,72.36304631341592,71.71128353062517,72.36304631341592,1175200.0,0.0007219106865281599,,73.38154411315918,,,39.51954647351738,-1.0100595442845588,-1.103156279854839,75.06830657205066,76.67036884586831,58.69062288031331,48.9776032791058,77.0002381551635,69.76285007115486,-4577700.0,0
2018-02-01,71.12036895751953,72.57163281203827,70.85097573012871,72.37175592618104,1334000.0,-0.015991126291896474,0.01359196820171307,73.09433364868164,,,38.34414278354518,-1.079803737153611,-1.0984857713145937,74.91348548912788,76.61514496638226,28.668655549805425,43.37345682813501,76.45141839571603,69.73724890164725,-5911700.0,0
2018-02-02,70.58155822753906,71.5114061052615,70.39037343640625,71.00737467956102,1101800.0,-0.007576039577386062,0.013598219914535173,72.81668205261231,,,52.13115760769966,-1.1651232201445652,-1.111813261080588,74.74360598867342,76.55510927743855,6.435414189170454,31.264897539763066,76.03052245240904,69.60284165281557,-7013500.0,0
