Date,Close,High,Low,Open,Volume,return_1d,volatility_21d,ma_20,ma_50,ma_200,rsi,macd,macd_signal,ema_50,ema_200,stoch_k,stoch_d,bb_upper,bb_lower,obv,anomaly
,,,,,,,,,,,,,,,,,,,,0.0,1
2018-01-02,381.5453186035156,383.749217924967,376.0704318195956,378.4339241653602,621800.0,,,,,,,0.0,0.0,381.5453186035156,381.5453186035156,,,,,0.0,1
2018-01-03,392.6944885253906,395.6862186011389,380.0893482982993,382.0838350154649,721300.0,0.029221089548894907,,,,,,0.8893924724002318,0.17787849448004636,381.9825409533931,381.65625561766365,,,,,721300.0,1
2018-01-04,381.8943481445313,393.8612681906308,381.3458460490141,393.4124965155214,650100.0,-0.02750265332578261,,,,,,0.7145247497689411,0.28520774553782535,381.9790824118691,381.658624697533,,,,,71200.0,1
2018-01-05,384.0384216308594,387.7182520410172,380.8971111531142,384.7863541462012,461100.0,0.005614310598586414,,,,,,0.7404145927732202,0.3762491149849043,382.05984081261386,381.6823042690089,,,,,532300.0,1
2018-01-08,371.4930725097656,386.2622437198029,370.2365666148879,383.34032808129166,1117800.0,-0.0326669114715622,,,,,,-0.24850770618843399,0.25129775075023664,381.6454577419139,381.5809188783697,,,,,-585500.0,1
2018-01-09,367.6337585449219,377.536377804821,367.10522078150655,371.5828337288074,1207600.0,-0.01038865661416144,,,,,,-1.3283378839813622,-0.06462937619608314,381.0959793420319,381.442141163609,,,,,-1793100.0,1
2018-01-10,365.4497985839844,370.3961476347553,364.5921838897696,367.63376400933,805800.0,-0.005940586004891113,,,,,,-2.3334399531078134,-0.5183914915784292,380.4824036260301,381.2830133767471,,,,,-2598900.0,1
2018-01-11,367.2448425292969,369.0697844527768,361.9993328164477,365.98830618081627,627700.0,0.004911875590759118,,,,,,-2.9511267870923916,-1.0049385506812218,379.96328358302094,381.14333008473267,,,,,-1971200.0,1
2018-01-12,365.9484252929688,368.9900358877193,365.7190787910423,368.4315820248808,830700.0,-0.0035301169307085933,,,,,,-3.5048562879886163,-1.5049220981427007,379.4136812971366,380.99213700222754,,,,,-2801900.0,1
