Date,Close,High,Low,Open,Volume
,SPGI,SPGI,SPGI,SPGI,SPGI
2018-01-02,157.30589294433594,159.3456746760347,157.1842647354709,158.82169823920552,941800
2018-01-03,159.8322296142578,160.17842527045062,157.1468289718276,157.43688633537153,808400
2018-01-04,162.22756958007812,162.81703597001777,160.2719951644891,160.28136106542163,727400
2018-01-05,164.39830017089844,164.48250759962812,162.41467125974427,162.41467125974427,688300
2018-01-08,165.78311157226562,166.02639653538992,163.86498667638412,164.22989984378395,948300
2018-01-09,165.8392791748047,167.01822622006384,165.17494269326724,165.92348661861865,906200
2018-01-10,164.3140869140625,166.5877730728297,163.75267552120687,165.9608717746023,935700
2018-01-11,165.05331420898438,165.13753593723422,163.25681720204247,164.63226267689143,714100
2018-01-12,166.2135009765625,166.49420666057313,164.64157198975764,165.58659970606647,711200
2018-01-16,164.5199432373047,167.1304734783728,163.81818610744617,166.65328376989174,840800
2018-01-17,165.41824340820312,165.90479918953648,163.69660206168882,165.4088917829567,1044300
2018-01-18,167.14915466308594,168.11289976973453,165.10002200499233,165.10002200499233,1109500
2018-01-19,169.48838806152344,170.5176376031537,166.7655668646264,168.32814442162078,1088300
2018-01-22,170.43345642089844,170.45217394718418,168.21590784523136,169.61942249358557,873400
2018-01-23,171.1632843017578,171.855690007124,169.51649890732,170.50831364927058,776100
2018-01-24,171.33172607421875,172.63231585018272,170.23698627234612,171.3785127551105,791200
2018-01-25,170.19017028808594,172.8849227378145,169.9188304292979,171.81825227267828,748600
2018-01-26,171.977294921875,172.3609256049375,169.9188100594535,171.0509703090065,1091200
2018-01-29,169.3948211669922,173.41823187723676,169.2918962089178,171.97729674148178,1065600
2018-01-30,168.73983764648438,170.84510903616123,168.42171117414836,169.16088906896266,1219600
2018-01-31,169.4509735107422,170.71412787385552,169.08606034664905,169.19833692720496,1243700
2018-02-01,170.29307556152344,171.2100342784453,167.87902915072857,168.79598786765044,1102100
2018-02-02,165.92349243164062,170.16210524622855,165.9047749065969,169.87204785584876,1118800
2018-02-05,155.65911865234375,166.94337318488016,154.37724661749746,165.65213524903973,2508200
2018-02-06,168.38433837890625,169.35743559423597,155.26615069601004,155.2755023205833,5582500
2018-02-07,170.93869018554688,173.45566149095472,163.76205532209528,168.22522059277304,2405800
2018-02-08,162.16204833984375,173.25916921791764,162.01233671353805,171.0416210777498,2651000
2018-02-09,166.0825653076172,167.35508581571358,159.11177880227643,163.74337424694653,2387000
2018-02-12,168.75857543945312,171.58432181956442,166.68137294326837,168.42173140555056,1723900
2018-02-13,170.23690795898438,170.68602847889912,167.86028272498092,167.86028272498092,1498600
2018-02-14,174.06390380859375,174.40074793063027,168.40305794420047,169.54458445347478,1567500
2018-02-15,176.76795959472656,177.06738285486725,172.82877048484798,175.25216860280327,1529700
2018-02-16,177.1048126220703,178.7048254105058,175.92586559926198,176.65569198632727,1302200
2018-02-20,175.81356811523438,178.22761464208767,175.12117680229176,176.30947540374783,937500
2018-02-21,175.51417541503906,178.92003683496162,175.4673887410235,175.53289294010298,1196800
2018-02-22,175.76681518554688,177.16096386611355,175.03698874513634,176.10365925629702,1028700
2018-02-23,179.8197021484375,180.04486892835632,176.2358870392544,176.60177410950334,1114900
2018-02-26,181.3489227294922,181.38644336706122,179.61329619757893,180.5608605020312,1299900
2018-02-27,181.19883728027344,183.38478335038948,180.77666204956603,181.33955758537851,1278500
2018-02-28,179.94171142578125,183.8163589194883,179.86665581489424,182.00569062129443,1257900
2018-03-01,177.80264282226562,181.05810595928898,176.04824867147357,179.3224792864998,1735400
2018-03-02,177.3335418701172,177.84954010841474,174.106223051009,176.2452572794151,1122000
2018-03-05,178.60012817382812,179.1911822039088,174.53783421020623,175.8137510540122,862800
2018-03-06,179.1817626953125,179.56640295228237,176.6486827820181,178.90968436251376,868300
2018-03-07,177.97146606445312,178.35612054000015,175.50408010424428,177.31474763997525,2043600
2018-03-08,180.59835815429688,180.77661336969052,177.84012639384184,178.2529249315138,2717600
2018-03-09,182.9063262939453,184.01336423992606,181.0956438520406,181.9399943425211,3575000
2018-03-12,183.8444366455078,184.5574431630415,181.89303456472388,182.13695445655148,1409300
2018-03-13,183.77880859375,185.53318847931658,183.25343371777657,185.05472514199616,1532200
2018-03-14,180.48587036132812,185.23302723943144,180.08244820536927,184.3229975579331,956400
2018-03-15,180.79542541503906,182.17452731986643,179.57579697544082,180.77665793632136,710700
2018-03-16,180.6077880859375,182.91570135769405,180.07303659717707,181.12378641045547,1836600
2018-03-19,178.6751251220703,181.64913314805608,177.92458352237836,180.4388957340379,1160400
2018-03-20,183.5536346435547,184.2478881685424,178.89091132793,179.932284457716,1289500
2018-03-21,181.82737731933594,184.5574652432628,181.78046578807533,184.00394639440037,1471800
2018-03-22,177.38983154296875,181.28324550040824,177.25848783710163,180.16681684284248,1293200
2018-03-23,174.9600067138672,178.2154703794179,174.72546330462228,178.2154703794179,1248000
2018-03-26,179.45379638671875,180.83291234987107,176.507932654387,178.11221537400533,1870200
2018-03-27,176.25460815429688,181.2550734154379,175.06313840509412,180.48577877585595,2128500
2018-03-28,175.7011260986328,178.10284788839394,173.3838364853732,176.73312264051035,1163000
2018-03-29,179.24742126464844,179.96044226519803,175.7386616413207,176.72373233457918,1473900
2018-04-02,175.09129333496094,178.91904224305821,172.38934956091842,178.44056468242795,1405300
2018-04-03,177.50238037109375,177.64311495126276,174.49085218167676,175.5228341926426,1294300
2018-04-04,177.74632263183594,178.431185143759,174.31260486182924,174.83797962798332,1327400
2018-04-05,178.00904846191406,179.66022870008132,177.5118176425969,179.0504216395276,1045200
2018-04-06,175.73866271972656,177.9621292810209,174.05932417797123,175.83247147826484,976400
2018-04-09,176.1608123779297,179.43502817858786,176.02007778744232,176.74247526885458,2833100
2018-04-10,179.66958618164062,180.82354979320846,177.10837675804012,180.19497532080638,884900
2018-04-11,177.73690795898438,179.16293521590464,176.9207018647158,178.3091941774244,744600
2018-04-12,180.28878784179688,181.33953751131057,178.60946368674263,179.3037028689325,926100
2018-04-13,178.96595764160156,181.4333583336149,177.94335204266167,180.28878560833505,882200
2018-04-16,179.81027221679688,181.10494144986998,179.0034427223837,180.59833423960424,909500
2018-04-17,181.958740234375,182.80310494007108,180.99242271298922,181.46150944435672,847400
2018-04-18,182.6342010498047,183.4691747437079,181.35828474408177,182.20264933316562,706900
2018-04-19,181.94935607910156,183.1126819626158,181.0768473510755,182.5497864976416,699600
2018-04-20,181.02996826171875,182.82186880070478,180.0448832051231,182.10886208084284,1208800
