Price,Close,High,Low,Open,Volume
Ticker,AAP,AAP,AAP,AAP,AAP
Date,,,,,
2018-01-02,94.65599822998047,96.29769318975582,88.9636141261729,90.02536238591144,2624500
2018-01-03,95.51254272460938,96.05679968581723,93.95115136540267,94.95043747873424,2086800
2018-01-04,99.0368423461914,99.50971987365897,95.89621754800682,96.13711498019931,2104500
2018-01-05,100.08965301513672,100.95511107664784,98.41227494193187,99.89336271576803,1996700
2018-01-08,99.38477325439453,100.18777575074247,98.71560564195873,99.97364402075802,1257100
2018-01-09,98.58177947998047,99.65245183887949,97.97506718540869,99.65245183887949,1091400
2018-01-10,98.67101287841797,99.92905152666542,97.95723802321764,98.38550157491255,711200
2018-01-11,100.77666473388672,101.19601096428123,97.16316281373787,98.76916139809514,1015900
2018-01-12,103.44442749023438,103.54257265085005,100.83912887270084,102.05255376110625,1579100
2018-01-16,101.62429809570312,104.24743159151625,100.69638447284561,104.17605885677935,1498100
2018-01-17,102.91799926757812,103.7120777915803,100.80343352018812,102.37374228275061,1354200
2018-01-18,103.07858276367188,103.37301816065926,101.41012912832728,103.20349351261343,920900
2018-01-19,104.40800476074219,104.84519923459875,102.79308219079024,103.7120714279922,1169900
2018-01-22,105.3091812133789,105.45194029854494,103.40874684021905,104.28312241191354,1612100
2018-01-23,106.26383209228516,106.29952185404497,104.03327303574211,105.05040742095566,1277000
2018-01-24,107.95012664794922,108.17318253801027,105.5143601404729,106.40658370071708,1198600
2018-01-25,107.8876953125,108.26242765759704,106.73672584645014,108.06614414858934,1250700
2018-01-26,110.31452178955078,110.54650182403893,108.54792293071002,110.04685199536247,1488400
2018-01-29,109.6453628540039,110.30560644328847,109.49368646852828,110.20746129806865,1403700
2018-01-30,106.4155044555664,109.47583163785318,104.90765121913411,108.46762143293682,1889700
2018-01-31,104.38124084472656,107.48618208050237,103.34626497088536,106.94192512018786,1235700
2018-02-01,104.64892578125,106.02295119052718,103.34627990658835,103.71208810902057,760600
2018-02-02,101.65103149414062,104.55075809355282,100.93724991605045,103.42655449055476,1092300
2018-02-05,98.01971435546875,102.57897885028194,97.97510043936668,100.8659106631577,1281600
2018-02-06,100.10749053955078,100.919417326301,95.2448743828996,96.60997547461032,1240100
2018-02-07,98.08214569091797,102.23098700682918,98.05538007067437,100.00934522684453,2163500
2018-02-08,97.81446075439453,102.91798031049039,97.52003217010065,98.0821305297073,1549900
2018-02-09,97.3772964477539,98.54610734497219,92.20239613872508,98.49257609994747,1577900
2018-02-12,97.68067932128906,98.85841464226773,96.40479882296813,97.96619070797696,1181400
2018-02-13,94.77201080322266,98.13569145167631,94.5400307149105,97.40406822588619,1392100
2018-02-14,97.2702407836914,98.14462314869783,93.91548402083153,94.12961583806928,1106700
2018-02-15,97.05609893798828,98.39443456991228,95.97650901175815,97.4576037118417,818400
2018-02-16,95.97650146484375,97.55573439119844,94.37942025280906,97.00256006339555,946700
2018-02-20,93.99576568603516,96.69920241515598,92.54144350169462,95.82482699879843,2369200
2018-02-21,101.71350860595703,106.44229725522516,101.02649930612289,104.35449011781786,5545200
2018-02-22,98.58177947998047,103.05182143252951,98.32303383009135,102.69493064622984,1465800
