Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2018-01-02,42.770870208740234,42.94070448292784,42.02897389603012,42.878135037631054,2873700
2018-01-03,44.156349182128906,44.60327577947928,42.76193697087517,42.94070829177119,3694900
2018-01-04,45.22003173828125,45.26472371456013,43.861374518772244,44.18316220362691,3839400
2018-01-05,46.623382568359375,46.971984769245076,45.45243365404389,45.89042322039986,7002500
2018-01-08,46.91835403442383,46.97198304195456,46.12282185499939,46.712764806291965,3991900
2018-01-09,46.89154052734375,47.284838138350345,46.453554345714906,47.03455691049719,3327200
2018-01-10,47.37421798706055,47.69600567366941,46.85578151201754,47.141817663275944,3376100
2018-01-11,48.911651611328125,49.59097859047231,47.53511676883801,47.740702610023476,5526600
2018-01-12,48.75075912475586,49.20662280113538,47.919475294493466,48.80438813975363,3675100
2018-01-16,47.85689926147461,49.00103022128294,47.678127946559755,48.86695088265199,5032300
2018-01-17,48.28594207763672,48.84907045279558,47.70493623233866,48.178680666580334,5967500
2018-01-18,48.12504959106445,48.76862489481191,47.713877995794185,48.12504959106445,3248500
2018-01-19,47.025611877441406,47.445723923255755,46.1675137245167,47.445723923255755,9125300
2018-01-22,47.79433059692383,47.83902257394104,46.1407001690529,47.052430821276914,4949800
2018-01-23,47.928409576416016,48.56304796563134,47.48148295825904,48.196564865354304,3878700
2018-01-24,48.160804748535156,48.49152943232166,47.499351971183266,47.86583159640044,3068000
2018-01-25,47.90159606933594,48.732879869224824,47.58874879401413,48.53623106200565,4555300
2018-01-26,47.990970611572266,48.133986967903304,47.55298451208672,47.856894695512544,2235400
2018-01-29,46.757469177246094,47.874785845897534,46.659144764839986,47.508306114971056,3309700
2018-01-30,45.157466888427734,46.33735291320308,44.98763599736053,46.176459054390115,4153000
2018-01-31,45.14853286743164,45.416691610110576,44.317252358379136,45.25579772841524,4563600
2018-02-01,45.22003173828125,45.87254413933466,44.88036658095919,45.20215426581385,3320600
2018-02-02,42.717247009277344,44.639029422721215,42.51166117396639,44.639029422721215,5479700
