Date,Close,High,Low,Open,Volume,return_1d,volatility_21d,ma_20,ma_50,ma_200,rsi,macd,macd_signal,ema_50,ema_200,stoch_k,stoch_d,bb_upper,bb_lower,obv,anomaly
,,,,,,,,,,,,,,,,,,,,0.0,1
2018-01-02,116.3707275390625,116.80853010438132,115.65020009884852,116.41633371258116,1288900.0,,,,,,,0.0,0.0,116.3707275390625,116.3707275390625,,,,,0.0,1
2018-01-03,118.2222137451172,118.31342608419304,116.00589585947344,116.33424079627794,2121200.0,0.015910240016616006,,,,,,0.14769690532628488,0.029539381065256977,116.44333484126072,116.38915028738145,,,,,2121200.0,1
2018-01-04,118.77857208251952,120.01898470502223,118.5231942411556,118.56880040933817,1904300.0,0.004706038905698318,,,,,,0.3061125600005994,0.08485401685232546,116.53491277229048,116.41292562862661,,,,,4025500.0,1
2018-01-05,118.5596923828125,119.14341518883928,118.30431452499136,118.76946406951213,1572000.0,-0.0018427540916635676,,,,,,0.40927843807367026,0.14973890109659443,116.61431589427174,116.43428649185235,,,,,2453500.0,1
2018-01-08,119.45349884033205,119.7088766638511,118.19484105509687,118.36813613185215,967900.0,0.007538872947085329,,,,,,0.5567430635105666,0.23113973357938888,116.72565640196038,116.46432840576757,,,,,3421400.0,1
2018-01-09,120.11933135986328,120.83987274470392,119.4808866573183,119.75450979185209,1249300.0,0.005573989259378909,,,,,,0.7190482210261564,0.3287214310687424,116.85874169442717,116.50069659436555,,,,,4670700.0,1
2018-01-10,118.86070251464844,119.75452521331398,116.99096042444964,119.75452521331398,1599100.0,-0.010478153940468915,,,,,,0.7376126591078247,0.4104996766765589,116.93724996188683,116.52417924033851,,,,,3071600.0,1
2018-01-11,117.73885345458984,119.36233336295102,117.42875367817324,119.10695543918992,1250200.0,-0.009438351249188792,,,,,,0.6542593717984033,0.4592516157009279,116.96868539297323,116.53626555092808,,,,,1821400.0,1
2018-01-12,117.22808074951172,118.1036720172479,117.12775272838624,117.80268795387144,1466000.0,-0.004338183106863069,,,,,,0.5407527414865143,0.4755518408580452,116.97885775989631,116.54314928424732,,,,,355400.0,1
