Date,Close,High,Low,Open,Volume
,SNA,SNA,SNA,SNA,SNA
2018-01-02,146.28466796875,146.45006164430725,142.4805503372906,144.37434388579746,727700
2018-01-03,144.87876892089844,146.35905900627776,143.62175456688414,146.11096224159098,434800
2018-01-04,145.689208984375,146.2350193519683,144.77125977295927,145.44939009973749,432400
2018-01-05,147.57473754882812,147.76493962060945,145.78019052871008,146.15232940610034,407800
2018-01-08,150.0722198486328,150.25415664996765,146.83872161067669,147.3018288799921,1454300
2018-01-09,147.83116149902344,150.5023199821103,147.6244161896117,149.7911156129846,617400
2018-01-10,149.1790771484375,149.286588698459,146.39215568229318,147.2025933935762,494700
2018-01-11,151.96600341796875,151.974281302833,149.39409235184718,149.5181470562685,425300
2018-01-12,151.82542419433594,153.38015236315783,151.56906212792964,151.9990957399133,584600
2018-01-16,149.41065979003906,152.97494597728297,149.31969137283366,152.54492493115643,647500
2018-01-17,149.82415771484375,150.16322297927155,148.57542085207817,150.16322297927155,398200
2018-01-18,148.65806579589844,150.70898728925715,148.50095004179883,149.9812401387927,592200
2018-01-19,151.163818359375,151.28787305346594,148.42651386736154,149.1294526110326,542600
2018-01-22,151.0811309814453,151.82540868652043,150.11356491735722,151.28787619049132,511000
2018-01-23,151.50286865234375,152.16445576637727,149.7083219654329,151.33747502851654,550600
2018-01-24,151.14727783203125,151.89982073735146,150.17971185199812,151.77577867019016,505300
2018-01-25,149.70835876464844,151.4946406260004,149.49334826269464,151.27961750531887,399100
2018-01-26,150.71730041503906,150.72556568301871,149.17911511593064,150.20457618824616,337000
2018-01-29,147.12814331054688,150.07219266249194,146.9792802188188,148.85652999139757,772500
2018-01-30,142.9767303466797,145.64787517742536,141.67837686771725,145.64787517742536,1206600
2018-01-31,141.67010498046875,144.2420162479774,141.38893448506047,143.8119826193526,765100
2018-02-01,140.48751831054688,141.96780855856525,139.88381317244412,140.66117723179954,698800
2018-02-02,138.8418426513672,140.25598574483706,137.70060480817148,139.45381314762398,792800
2018-02-05,135.8646697998047,141.25658813793754,135.72408457834143,137.42766300383505,922700
2018-02-06,138.16372680664062,138.9245478403651,132.32523013225364,132.79661537657407,887100
2018-02-07,137.7998046875,141.2152265615621,137.6261331799326,137.91558148630338,865200
2018-02-08,129.6044158935547,135.7075374777711,129.43074439487881,135.62483436054944,1697000
2018-02-09,131.33285522460938,132.85449728980015,127.76856900785299,131.85385731098424,2047600
2018-02-12,131.6967010498047,133.91300368238257,131.17569907359322,132.54022505445027,761200
2018-02-13,130.3653106689453,131.365963433317,129.07522206734495,131.365963433317,747700
2018-02-14,131.51478576660156,131.83730784779647,129.7533122207603,129.7533122207603,466900
2018-02-15,133.29275512695312,133.60701185913737,131.4733999474802,132.52366906394454,492700
2018-02-16,133.04466247558594,135.94736026449579,132.42442693463494,133.24312977270665,721300
2018-02-20,133.0942840576172,133.81375327284755,131.5891730341182,132.18460018421396,732200
2018-02-21,130.7291259765625,133.72279242537184,130.69603967817784,133.23487678336517,614500
2018-02-22,132.14324951171875,133.56565742221184,130.8779699639362,131.43204555647222,438600
2018-02-23,132.49887084960938,133.16045804363353,131.5974647648486,132.82965813725838,262800
2018-02-26,132.44927978515625,133.27626078388664,131.25015986074288,132.96200396637593,486700
2018-02-27,130.88629150390625,133.74763880892544,130.83667466096927,132.53197568205252,549700
2018-02-28,131.67189025878906,133.425085600325,130.4148758496575,131.65534710875772,990300
2018-03-01,127.36592102050781,132.53636990389086,126.6344066522204,132.06254463787366,844300
2018-03-02,127.72338104248047,127.98939092878813,125.25453227790412,126.3434959804204,495400
2018-03-05,129.71839904785156,130.25871411349667,126.11072608524364,127.31605308986961,523300
2018-03-06,132.1208038330078,132.6029373863391,130.25877211159587,130.25877211159587,496800
2018-03-07,132.12905883789062,132.28700060726408,130.1340356177114,130.7076082816262,426200
2018-03-08,128.65443420410156,132.81074455664296,127.70679595108422,132.81074455664296,1071600
2018-03-09,127.49893188476562,129.41914450701807,127.16641957274388,129.41914450701807,1915000
2018-03-12,125.91126251220703,127.49065531833277,124.11573345737521,127.43247357110185,1599600
